NPS;FLANGE_OD;FLANGE_THK;HUB_DIA;CHAMFER;HEIGHT;BORE;BCD;BHD;NOBOLTS;RF_HEIGHT;RF_OD
0,5;89;9,7;30;21,3;46;15,7;60,5;15,875;4;1,5;35,1
0,75;99;11,2;38;26,7;51;20,8;69,8;15,88;4;1,5;42,9
1;108;12,7;49;33,5;54;26,7;79,2;15,88;4;1,5;50,8
1,25;117;14,2;59;42,2;56;35,1;88,9;15,88;4;1,5;63,5
1,5;127;15,9;65;48,3;60;40,9;98,6;15,88;4;1,5;73,0
2;152;17,5;78;60,5;62;52,6;120,6;19,05;4;1,5;91,9
2,5;178;20,6;90;73,2;68;62,7;139,7;19,05;4;1,5;104,6
3;190;22,4;108;88,9;68;78,0;152,4;19,05;4;1,5;127,0
3,5;216;22,4;122;101,6;70;90,2;177,8;19,05;8;1,5;139,7
4;229;22,4;135;114,3;75;102,4;190,5;19,05;8;1,5;157,2
5;254;22,4;164;141,2;87;128,3;215,9;22,23;8;1,5;185,7
6;279;23,9;192;168,4;87;154,2;241,3;22,23;8;1,5;215,9
8;343;26,9;246;219,2;100;202,7;298,4;22,23;8;1,5;269,7
10;406;28,4;305;273,0;100;254,5;362,0;25,40;12;1,5;323,8
12;483;30,2;365;323,8;113;304,8;431,8;25,40;12;1,5;381,0
14;553;33,3;400;355,6;125;;476,2;28,58;12;1,5;412,8
16;597;35,1;457;406,4;125;;539,8;28,58;16;1,5;469,9
18;635;38,1;505;457,2;138;;577,8;31,75;16;1,5;533,4
20;698;41,1;559;508,0;143;;635,0;31,75;20;1,5;584,2
22;749;44,4;610;558,8;148;;692,2;34,93;20;1,5;641,4
24;813;46,0;663;609,6;151;;749,3;34,93;20;1,5;692,2
