NPS;OD;SCH.5;SCH.5S;SCH.10;SCH.10S;SCH.20;SCH.30;SCH.40;SCH.40S;SCH.60;SCH.80;SCH.80S;SCH.100;SCH.120;SCH.140;SCH.160;STD;XS;XXS;;;
0,5;21,30;1,65;1,65;2,11;2,11;;2,41;2,77;2,77;;3,73;3,73;;;;4,78;2,77;3,73;7,47;;;
0,75;26,70;1,65;1,65;2,11;2,11;;2,41;2,87;2,87;;3,91;3,91;;;;5,56;2,87;3,91;7,82;;;
1;33,40;1,65;1,65;2,77;2,77;;2,90;3,38;3,38;;4,55;4,55;;;;6,35;3,38;4,55;9,09;;;
1,25;42,20;1,65;1,65;2,77;2,77;;2,97;3,56;3,56;;4,85;4,85;;;;6,35;3,56;4,85;9,70;;;
1,5;48,30;1,65;1,65;2,77;2,77;;3,18;3,68;3,68;;5,08;5,08;;;;7,14;3,68;5,08;10,15;;;
2;60,30;1,65;1,65;2,77;2,77;;3,18;3,91;3,91;;5,54;5,54;;;;8,74;3,91;5,54;11,07;;;
2,5;73,00;2,11;2,11;3,05;3,05;;4,78;5,16;5,16;;7,01;7,01;;;;9,53;5,16;7,01;14,02;;;
3;88,90;2,11;2,11;3,05;3,05;;4,78;5,49;5,49;;7,62;7,62;;;;11,13;5,49;7,62;15,24;;;
3,5;101,60;2,11;2,11;3,05;3,05;;4,78;5,74;5,74;;8,08;8,08;;;;;5,74;8,08;;;;
4;114,30;;2,11;;3,05;;4,78;6,02;6,02;;8,56;8,56;;11,13;;13,49;6,02;8,56;17,12;;;
5;141,30;;2,77;;3,40;;;6,55;6,55;;9,53;9,53;;12,70;;15,88;6,55;9,53;19,05;;;
6;168,30;;2,77;;3,40;;;7,11;7,11;;10,97;10,97;;14,27;;18,26;7,11;10,97;21,95;;;
8;219,10;2,77;2,77;3,76;3,76;6,35;7,04;8,18;8,18;10,31;12,70;12,70;15,09;18,26;20,62;23,01;8,18;12,70;22,23;;;
10;273,00;3,40;3,40;4,19;4,19;6,35;7,80;9,27;9,27;12,70;15,09;12,70;18,26;21,44;25,40;28,58;9,27;12,70;25,40;;;
12;323,80;3,96;3,96;4,57;4,57;6,35;8,38;10,31;9,53;14,27;17,48;12,70;21,44;25,40;28,58;33,32;9,53;12,70;25,40;;;
14;355,60;3,96;3,96;6,35;4,78;7,92;9,53;11,13;9,53;15,09;19,05;12,70;23,83;27,79;31,75;35,71;9,53;12,70;;;;
16;406,40;4,19;4,19;6,35;4,78;7,92;9,53;12,70;9,53;16,66;21,44;12,70;26,19;30,96;36,53;40,49;9,53;12,70;;;;
18;457,00;4,19;4,19;6,35;4,78;7,92;11,13;14,27;9,53;19,05;23,83;12,70;29,36;34,93;39,67;45,24;9,53;12,70;;;;
20;508,00;4,78;4,78;6,35;5,54;9,53;12,70;15,09;9,53;20,62;26,19;12,70;32,54;38,10;44,45;50,01;9,53;12,70;;;;
22;559,00;4,78;4,78;6,35;5,54;9,53;12,70;;;22,23;28,58;;34,93;41,28;47,63;53,98;9,53;12,70;;;;
24;610,00;5,54;5,54;6,35;6,35;9,53;14,27;17,48;9,53;24,61;30,96;12,70;38,89;46,02;52,37;59,54;9,53;12,70;;;;
